Timestamp,API,Latency(ms),Error Rate(%),Requests per Minute,Timeout Rate(%)
2024-09-01 00:00:00,Location Services,279,1.446096567,88,0.504671297
2024-09-01 01:00:00,Booking Service,590,4.066889981,110,0.984571563
2024-09-01 02:00:00,Vehicle Info,662,3.45537248,59,1.047043045
2024-09-01 03:00:00,Remote Lock/Unlock,87,3.030329754,150,2.410040134
2024-09-01 04:00:00,Location Services,434,4.772561142,86,1.894894282
2024-09-01 05:00:00,Vehicle Info,186,0.925802734,92,2.150495922
2024-09-01 06:00:00,Booking Service,211,7.127875614,146,0.04007248
2024-09-01 07:00:00,Location Services,234,4.481678935,87,1.86904446
2024-09-01 08:00:00,Location Services,506,4.667354402,91,0.055602975
2024-09-01 09:00:00,Vehicle Info,242,3.288050172,117,2.473713769
2024-09-01 10:00:00,Vehicle Info,459,2.081601828,97,0.342300434
2024-09-01 11:00:00,Remote Lock/Unlock,634,2.86300342,144,2.211501476
2024-09-01 12:00:00,Booking Service,50,3.587834513,140,1.477815242
2024-09-01 13:00:00,Booking Service,80,5.02279393,172,1.247286566
2024-09-01 14:00:00,Vehicle Info,96,7.80039382,100,2.541986854
2024-09-01 15:00:00,Remote Lock/Unlock,129,6.784731675,154,2.067103124
2024-09-01 16:00:00,Location Services,680,7.507297528,77,2.837032915
2024-09-01 17:00:00,Remote Lock/Unlock,159,6.206850642,67,0.210043841
2024-09-01 18:00:00,Location Services,174,1.277507978,80,0.402192888
2024-09-01 19:00:00,Remote Lock/Unlock,634,0.575845851,171,2.299432323
2024-09-01 20:00:00,Location Services,170,2.807331843,134,1.881744005
2024-09-01 21:00:00,Booking Service,247,6.611900407,78,1.173102844
2024-09-01 22:00:00,Booking Service,308,1.262163607,134,2.371115737
2024-09-01 23:00:00,Vehicle Info,279,0.616547177,84,0.114642092
2024-09-02 00:00:00,Vehicle Info,266,0.233536825,105,2.761186373
2024-09-02 01:00:00,Location Services,91,0.213301594,87,0.23799457
2024-09-02 02:00:00,Remote Lock/Unlock,53,1.544855665,82,1.602146026
2024-09-02 03:00:00,Remote Lock/Unlock,394,0.274688747,156,0.870117931
2024-09-02 04:00:00,Location Services,185,4.288766719,124,0.179629346
2024-09-02 05:00:00,Location Services,81,3.911691151,67,2.423801961
2024-09-02 06:00:00,Location Services,330,2.607784016,47,0.638272794
2024-09-02 07:00:00,Booking Service,538,2.010829211,141,2.829784133
2024-09-02 08:00:00,Remote Lock/Unlock,447,3.663768743,131,1.733545585
2024-09-02 09:00:00,Booking Service,351,1.820155887,163,1.425893176
2024-09-02 10:00:00,Remote Lock/Unlock,480,0.641042463,169,2.467699628
2024-09-02 11:00:00,Location Services,553,4.306150963,142,1.33184861
2024-09-02 12:00:00,Booking Service,309,2.980170916,171,2.464212295
2024-09-02 13:00:00,Remote Lock/Unlock,483,1.136327048,130,2.111814752
2024-09-02 14:00:00,Booking Service,98,3.242795365,45,2.758619646
2024-09-02 15:00:00,Vehicle Info,629,4.862103118,177,0.758287463
2024-09-02 16:00:00,Location Services,127,0.752056593,82,1.353340459
2024-09-02 17:00:00,Booking Service,149,2.25926693,136,0.774574522
2024-09-02 18:00:00,Vehicle Info,289,3.052577991,133,2.377801863
2024-09-02 19:00:00,Remote Lock/Unlock,598,0.500469587,46,0.330636586
2024-09-02 20:00:00,Remote Lock/Unlock,418,6.71731087,173,2.218487974
2024-09-02 21:00:00,Vehicle Info,569,6.413034082,83,2.642521254
2024-09-02 22:00:00,Remote Lock/Unlock,345,2.873605254,71,2.086686791
2024-09-02 23:00:00,Vehicle Info,695,5.06085812,126,1.9212725
2024-09-03 00:00:00,Booking Service,309,1.671617127,176,2.485562303
2024-09-03 01:00:00,Location Services,613,0.279751459,60,2.034598205
2024-09-03 02:00:00,Remote Lock/Unlock,102,0.038836274,161,1.133194934
2024-09-03 03:00:00,Remote Lock/Unlock,269,0.247713573,121,0.734627208
2024-09-03 04:00:00,Booking Service,391,5.387451328,118,0.970062232
2024-09-03 05:00:00,Vehicle Info,300,4.395188915,46,2.525766933
2024-09-03 06:00:00,Location Services,355,0.008421633,130,2.810407007
2024-09-03 07:00:00,Remote Lock/Unlock,444,5.530339042,62,2.569097811
2024-09-03 08:00:00,Booking Service,122,6.754082165,100,0.899978316
2024-09-03 09:00:00,Booking Service,587,1.642016015,87,0.341719023
2024-09-03 10:00:00,Vehicle Info,88,1.843989547,64,2.436590094
2024-09-03 11:00:00,Vehicle Info,462,6.033914014,83,2.210072704
2024-09-03 12:00:00,Location Services,653,2.358626175,137,0.68840926
2024-09-03 13:00:00,Vehicle Info,262,7.429058363,128,2.445888127
2024-09-03 14:00:00,Location Services,198,0.830690015,152,1.473695703
2024-09-03 15:00:00,Remote Lock/Unlock,310,0.198411344,61,1.318224797
2024-09-03 16:00:00,Vehicle Info,262,3.399975609,179,2.277071475
2024-09-03 17:00:00,Booking Service,698,3.645433337,179,1.836056244
2024-09-03 18:00:00,Vehicle Info,563,2.270558335,72,0.608331915
2024-09-03 19:00:00,Booking Service,92,5.056055121,176,1.909662428
2024-09-03 20:00:00,Vehicle Info,101,4.480034314,119,1.047432557
2024-09-03 21:00:00,Remote Lock/Unlock,526,7.371564676,98,1.6228464
2024-09-03 22:00:00,Remote Lock/Unlock,358,2.734346181,117,0.624888499
2024-09-03 23:00:00,Booking Service,465,0.481088924,135,2.854422465
2024-09-04 00:00:00,Location Services,289,5.412925539,49,1.448203054
2024-09-04 01:00:00,Remote Lock/Unlock,331,7.824963173,80,0.527571526
2024-09-04 02:00:00,Location Services,641,3.230717503,143,2.08411798
2024-09-04 03:00:00,Location Services,433,0.153292693,104,1.5528149
2024-09-04 04:00:00,Booking Service,349,1.616159593,90,2.24797115
2024-09-04 05:00:00,Vehicle Info,660,3.11747247,163,0.6552828
2024-09-04 06:00:00,Remote Lock/Unlock,653,7.982372764,129,2.017573696
2024-09-04 07:00:00,Vehicle Info,117,3.648003362,157,1.939875997
2024-09-04 08:00:00,Booking Service,639,3.791970803,157,0.354267305
2024-09-04 09:00:00,Remote Lock/Unlock,287,3.305891453,166,2.443697546
2024-09-04 10:00:00,Remote Lock/Unlock,594,2.090789005,174,1.549752398
2024-09-04 11:00:00,Booking Service,365,6.795601885,176,2.554622464
2024-09-04 12:00:00,Booking Service,354,6.223748915,78,1.485189344
2024-09-04 13:00:00,Booking Service,698,6.550455918,161,1.698595664
2024-09-04 14:00:00,Vehicle Info,245,1.756790791,149,1.046630055
2024-09-04 15:00:00,Location Services,509,5.5584274,159,0.369705243
2024-09-04 16:00:00,Remote Lock/Unlock,662,0.715156226,42,0.891319878
2024-09-04 17:00:00,Booking Service,227,7.300810587,48,2.374557076
2024-09-04 18:00:00,Booking Service,375,6.844723427,60,2.176390135
2024-09-04 19:00:00,Booking Service,502,4.233517883,121,1.81228677
2024-09-04 20:00:00,Vehicle Info,377,2.476406127,129,2.507191547
2024-09-04 21:00:00,Remote Lock/Unlock,407,4.545759123,171,0.153797106
2024-09-04 22:00:00,Vehicle Info,333,5.785513051,88,1.692709996
2024-09-04 23:00:00,Remote Lock/Unlock,631,6.95585779,45,1.274093692
2024-09-05 00:00:00,Vehicle Info,356,1.106857812,167,1.243595767
2024-09-05 01:00:00,Location Services,324,5.24759441,83,0.928461221
2024-09-05 02:00:00,Booking Service,278,6.055174967,154,2.952502191
2024-09-05 03:00:00,Vehicle Info,608,6.318009392,118,0.213820918
2024-09-05 04:00:00,Vehicle Info,495,4.847000139,73,2.458957028
2024-09-05 05:00:00,Remote Lock/Unlock,598,5.730273631,125,0.443197596
2024-09-05 06:00:00,Booking Service,162,3.117868804,103,1.737100444
2024-09-05 07:00:00,Remote Lock/Unlock,306,4.837896694,133,1.113951947
2024-09-05 08:00:00,Booking Service,198,2.730328793,138,2.957549894
2024-09-05 09:00:00,Booking Service,320,2.578984572,152,1.317551537
2024-09-05 10:00:00,Remote Lock/Unlock,205,1.27067232,69,1.70426003
2024-09-05 11:00:00,Booking Service,124,0.612684336,144,2.528008217
2024-09-05 12:00:00,Booking Service,652,1.59662864,74,2.656418809
2024-09-05 13:00:00,Remote Lock/Unlock,491,5.508796352,88,1.693325016
2024-09-05 14:00:00,Vehicle Info,638,5.36091283,166,2.608548548
2024-09-05 15:00:00,Vehicle Info,298,4.882460162,142,2.461930192
2024-09-05 16:00:00,Vehicle Info,601,0.611947378,150,0.789872099
2024-09-05 17:00:00,Vehicle Info,61,4.106020733,53,0.705842644
2024-09-05 18:00:00,Remote Lock/Unlock,212,1.684633215,41,1.904517503
2024-09-05 19:00:00,Vehicle Info,577,0.783381697,111,0.049374745
