Timestamp,User ID,Journey Step,Step Completion Time(ms),Is Successful,Abandonment Rate(%)
2024-09-01 00:00:00,1896,Login,912,TRUE,8.353711554
2024-09-01 01:00:00,8962,Logout,2971,TRUE,13.92107668
2024-09-01 02:00:00,4453,Payment,2364,TRUE,2.695375473
2024-09-01 03:00:00,2672,Logout,2987,TRUE,3.882461234
2024-09-01 04:00:00,6816,Payment,3107,TRUE,7.332468884
2024-09-01 05:00:00,6945,Payment,4406,TRUE,17.86179442
2024-09-01 06:00:00,7553,Vehicle Search,770,TRUE,17.01642244
2024-09-01 07:00:00,7559,Booking Confirmation,1334,FALSE,16.92236348
2024-09-01 08:00:00,3978,Login,3782,FALSE,16.99757943
2024-09-01 09:00:00,5314,Logout,3784,TRUE,5.894981075
2024-09-01 10:00:00,9819,Payment,2790,TRUE,12.31982802
2024-09-01 11:00:00,1699,Payment,2272,TRUE,15.15839423
2024-09-01 12:00:00,8725,Booking Confirmation,4233,TRUE,8.587511865
2024-09-01 13:00:00,9546,Logout,4981,TRUE,1.605633491
2024-09-01 14:00:00,1611,Booking Confirmation,2878,TRUE,11.78643495
2024-09-01 15:00:00,5228,Logout,1379,FALSE,19.39968432
2024-09-01 16:00:00,9708,Vehicle Search,2051,TRUE,18.37714684
2024-09-01 17:00:00,6883,Payment,3105,TRUE,8.845880134
2024-09-01 18:00:00,2729,Logout,2375,TRUE,19.98382332
2024-09-01 19:00:00,2532,Booking Confirmation,3139,TRUE,7.452616879
2024-09-01 20:00:00,1044,Login,4477,TRUE,9.642352706
2024-09-01 21:00:00,4628,Vehicle Search,4684,TRUE,9.311471988
2024-09-01 22:00:00,6463,Logout,995,TRUE,3.399867778
2024-09-01 23:00:00,6783,Logout,4396,TRUE,10.24199868
2024-09-02 00:00:00,4783,Login,3669,TRUE,14.33046735
2024-09-02 01:00:00,1406,Vehicle Search,934,TRUE,11.00895575
2024-09-02 02:00:00,7520,Login,4449,TRUE,5.8771183
2024-09-02 03:00:00,3313,Booking Confirmation,4833,TRUE,2.342187755
2024-09-02 04:00:00,6557,Vehicle Search,3809,TRUE,9.069464182
2024-09-02 05:00:00,7684,Vehicle Search,2758,TRUE,11.66161398
2024-09-02 06:00:00,5344,Booking Confirmation,2752,TRUE,9.774540755
2024-09-02 07:00:00,9658,Login,2002,TRUE,11.51857304
2024-09-02 08:00:00,2971,Login,3130,TRUE,17.16227757
2024-09-02 09:00:00,9259,Vehicle Search,1728,TRUE,4.289075733
2024-09-02 10:00:00,5988,Login,3401,TRUE,10.93376606
2024-09-02 11:00:00,4539,Booking Confirmation,2484,FALSE,16.044532
2024-09-02 12:00:00,5188,Booking Confirmation,573,FALSE,19.58376925
2024-09-02 13:00:00,1877,Login,2455,TRUE,5.866448346
2024-09-02 14:00:00,3674,Login,4256,TRUE,3.58929618
2024-09-02 15:00:00,6484,Vehicle Search,4112,TRUE,6.863235201
2024-09-02 16:00:00,8513,Login,3141,TRUE,10.12408333
2024-09-02 17:00:00,9071,Payment,4281,TRUE,19.60601883
2024-09-02 18:00:00,4366,Vehicle Search,4433,TRUE,12.27097293
2024-09-02 19:00:00,1958,Payment,3039,TRUE,3.782352244
2024-09-02 20:00:00,5556,Payment,1168,TRUE,4.892105264
2024-09-02 21:00:00,6536,Logout,3870,TRUE,0.743116401
2024-09-02 22:00:00,7341,Booking Confirmation,4702,TRUE,8.219170085
2024-09-02 23:00:00,4655,Logout,2890,TRUE,6.404676158
2024-09-03 00:00:00,6752,Logout,4745,FALSE,9.919248626
2024-09-03 01:00:00,5458,Logout,4343,TRUE,5.64219074
2024-09-03 02:00:00,3316,Login,3975,TRUE,2.664060516
2024-09-03 03:00:00,8997,Payment,4205,TRUE,15.49372039
2024-09-03 04:00:00,7555,Booking Confirmation,3053,TRUE,3.746195401
2024-09-03 05:00:00,1156,Logout,1039,TRUE,0.408014498
2024-09-03 06:00:00,3569,Vehicle Search,1046,FALSE,12.74139982
2024-09-03 07:00:00,3608,Payment,4171,FALSE,2.453721066
2024-09-03 08:00:00,1151,Logout,2192,TRUE,3.713030247
2024-09-03 09:00:00,4191,Login,2073,TRUE,17.28039899
2024-09-03 10:00:00,6834,Payment,4318,TRUE,5.850338914
2024-09-03 11:00:00,2617,Vehicle Search,2389,TRUE,16.19806167
2024-09-03 12:00:00,1468,Logout,4299,TRUE,2.506989739
2024-09-03 13:00:00,2633,Payment,1373,TRUE,19.23404447
2024-09-03 14:00:00,2805,Vehicle Search,4043,TRUE,1.280178719
2024-09-03 15:00:00,3023,Booking Confirmation,539,TRUE,1.629121756
2024-09-03 16:00:00,5751,Vehicle Search,4620,TRUE,14.65740237
2024-09-03 17:00:00,8593,Logout,930,FALSE,14.78380451
2024-09-03 18:00:00,2205,Login,2335,TRUE,19.8611805
2024-09-03 19:00:00,1878,Logout,680,TRUE,1.612021859
2024-09-03 20:00:00,5666,Booking Confirmation,1609,TRUE,17.58102143
2024-09-03 21:00:00,7519,Payment,1202,TRUE,1.599970229
2024-09-03 22:00:00,3846,Booking Confirmation,1890,TRUE,18.48519116
2024-09-03 23:00:00,9622,Booking Confirmation,4385,TRUE,19.02917562
2024-09-04 00:00:00,5804,Booking Confirmation,2469,TRUE,9.057833365
2024-09-04 01:00:00,6679,Vehicle Search,1497,FALSE,9.596257702
2024-09-04 02:00:00,3676,Logout,1497,TRUE,17.21488499
2024-09-04 03:00:00,5741,Logout,2891,TRUE,1.744681088
2024-09-04 04:00:00,2671,Logout,1941,FALSE,13.71899529
2024-09-04 05:00:00,7368,Login,955,TRUE,16.13288444
2024-09-04 06:00:00,4165,Logout,3476,TRUE,13.95940823
2024-09-04 07:00:00,6197,Vehicle Search,532,TRUE,1.448324851
2024-09-04 08:00:00,4262,Vehicle Search,1263,TRUE,11.53046299
2024-09-04 09:00:00,2766,Login,4969,TRUE,1.918182452
2024-09-04 10:00:00,8929,Login,1262,TRUE,8.215202046
2024-09-04 11:00:00,9404,Payment,3264,TRUE,10.90204614
2024-09-04 12:00:00,9813,Vehicle Search,4136,TRUE,6.909563207
2024-09-04 13:00:00,8984,Login,4401,TRUE,14.64404655
2024-09-04 14:00:00,3370,Vehicle Search,2372,TRUE,10.12270885
2024-09-04 15:00:00,2942,Logout,2860,TRUE,15.10747658
2024-09-04 16:00:00,9570,Login,602,TRUE,10.71182653
2024-09-04 17:00:00,1481,Login,4523,TRUE,6.251032883
2024-09-04 18:00:00,2931,Payment,1194,TRUE,15.94953528
2024-09-04 19:00:00,2956,Payment,1628,TRUE,6.343214528
